name,address,city,lat,long,company,connector,power_supply,charging_speed,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,12.42,איטי,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,12.42,איטי,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,12.42,איטי,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,12.42,איטי,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,22.08,איטי,,
תחנת רכבת ספיר,יד חרוצים 11,נתניה,32.2800336,34.8642208,EV-Edge,type 2,22.08,איטי,,
חניון בית יד לבנים,שמחה ארליך 1,נתניה,32.300415,34.845341,EV-Edge,CHAdeMO,35,איטי,,
מלון כרמל נתניה,ברוך רם 1,נתניה,32.31725893,34.84667504,EV-Edge,combo,50,מהיר,,
מלון כרמל נתניה,ברוך רם 1,נתניה,32.31725893,34.84667504,EV-Edge,combo,50,מהיר,,
מלון כרמל נתניה,ברוך רם 1,נתניה,32.31725893,34.84667504,EV-Edge,type 2,22.08,איטי,,
חניון היכל התרבות,דרך רזיאל 3,נתניה,32.32900353,34.86239498,EV-Edge,type 2,22.08,איטי,,
חניון היכל התרבות,דרך רזיאל 3,נתניה,32.32900353,34.86239498,EV-Edge,type 2,22.08,איטי,,
חניון היכל התרבות,דרך רזיאל 3,נתניה,32.32900353,34.86239498,EV-Edge,type 2,22.08,איטי,,
חניון היכל התרבות,דרך רזיאל 3,נתניה,32.32900353,34.86239498,EV-Edge,type 2,22.08,איטי,,
חניון היכל התרבות,דרך רזיאל 3,נתניה,32.32900353,34.86239498,EV-Edge,type 2,22.08,איטי,,
דוד המלך,דוד המלך 3,נתניה,32.3312819,34.8513878,EV-Edge,type 2,22.08,איטי,,
GAC קניון ים המלח עמדת,קניון ים המלח 1,ים המלח,31.19926615,35.36403537,EV-Edge,CHAdeMO,40,איטי,,
איקאה נתניה,שדרות גיבורי ישראל 1,נתניה,32.27378467,34.8598785,EV-Edge,combo,50,מהיר,,
איקאה נתניה,שדרות גיבורי ישראל 1,נתניה,32.27378467,34.8598785,EV-Edge,CHAdeMO,50,מהיר,,
איקאה נתניה,שדרות גיבורי ישראל 1,נתניה,32.27378467,34.8598785,EV-Edge,type 2,22.08,איטי,,
איקאה נתניה,שדרות גיבורי ישראל 1,נתניה,32.27378467,34.8598785,EV-Edge,type 2,22.08,איטי,,
איקאה נתניה,שדרות גיבורי ישראל 1,נתניה,32.27378467,34.8598785,EV-Edge,type 2,22.08,איטי,,
'אי וי אדג - מורשי כניסה לחניון בלבד,הברזל 26,תל אביב-יפו,32.10919859,34.84054494,EV-Edge,type 2,22.08,איטי,,
'אי וי אדג - מורשי כניסה לחניון בלבד,הברזל 26,תל אביב-יפו,32.10919859,34.84054494,EV-Edge,type 2,22.08,איטי,,
'אי וי אדג - מורשי כניסה לחניון בלבד,הברזל 26,תל אביב-יפו,32.10919859,34.84054494,EV-Edge,type 2,22.08,איטי,,
'אי וי אדג - מורשי כניסה לחניון בלבד,הברזל 26,תל אביב-יפו,32.10919859,34.84054494,EV-Edge,type 2,22.08,איטי,,
אחוזות החוף - חניון רוטשילד,שדרות רוטשילד 1,תל אביב יפו,32.063007,34.769093,EV-Edge,type 2,22.08,איטי,,
אחוזות החוף - חניון המוזאונים,קלאוזנר 12,תל אביב יפו,32.113651,34.807655,EV-Edge,type 2,22.08,איטי,,
אחוזות החוף - חניון המוזאונים,קלאוזנר 12,תל אביב יפו,32.113651,34.807655,EV-Edge,combo,50,מהיר,,
אחוזות החוף - חניון הנדסה,"דר ג'ורג' וייז 32-34""",תל אביב יפו,32.108166,34.806125,EV-Edge,combo,50,מהיר,,
אחוזות החוף - חניון הנדסה,"דר ג'ורג' וייז 32-34""",תל אביב יפו,32.108166,34.806125,EV-Edge,type 2,22.08,איטי,,
אחוזות החוף - חניון הנדסה,"דר ג'ורג' וייז 32-34""",תל אביב יפו,32.108166,34.806125,EV-Edge,type 2,22.08,איטי,,
אחוזות החוף - חניון גני יהושוע,שדרות רוקח 94,תל אביב יפו,32.105206,34.812347,EV-Edge,type 2,22.08,איטי,,
איקאה באר שבע,ירדן 24,באר שבע,31.2241788,34.82302003,EV-Edge,type 2,22.08,איטי,,
איקאה באר שבע,ירדן 24,באר שבע,31.2241788,34.82302003,EV-Edge,type 2,22.08,איטי,,
איקאה באר שבע,ירדן 24,באר שבע,31.2241788,34.82302003,EV-Edge,type 2,22.08,איטי,,
איקאה באר שבע,ירדן 24,באר שבע,31.2241788,34.82302003,EV-Edge,combo,150,מהיר,,
יקנעם G מתחם,התמר 2,יוקנעם עילית,32.660203,35.105195,EV-Edge,combo,90,מהיר,,
יקנעם G מתחם,התמר 2,יוקנעם עילית,32.660203,35.105195,EV-Edge,combo,50,מהיר,,
מיקה מגדל,כביש 90 צומת מגדל 1,מגדל,32.828574,35.51179,EV-Edge,CHAdeMO,50,מהיר,,
"מלון ישרוטל פורט תא - לאורחי המלון בלבד""",הירקון 298,תל אביב-יפו,32.096794,34.774969,EV-Edge,type 2,22.08,איטי,,
GAC מוסך לקסוס חיפה,בעלי מלאכה 6,חיפה,32.79016184,35.03801646,EV-Edge,CHAdeMO,25.2,איטי,,
GAC מוסך טויוטה באר שבע,הנפח 2/1,באר שבע,31.22082692,34.81181923,EV-Edge,CHAdeMO,25.2,איטי,,
איקאה אשתאול,המלאכה 7,ישראל,31.774366,35.001938,EV-Edge,type 2,22.08,איטי,,
איקאה אשתאול,המלאכה 7,ישראל,31.774366,35.001938,EV-Edge,type 2,22.08,איטי,,
איקאה אשתאול,המלאכה 7,ישראל,31.774366,35.001938,EV-Edge,combo,50,מהיר,,
איקאה אשתאול,המלאכה 7,ישראל,31.774366,35.001938,EV-Edge,CHAdeMO,50,מהיר,,
